,Velocity,Power,Position,Diameter
288,2.054486082,17.2,On,60r
289,0.908450328,17.2,On,60r
290,1.926924768,17.2,On,60r
291,0.03176671,17.2,On,60r
292,3.905102214,17.2,On,60r
293,0.796906266,17.2,On,60r
294,0.091809651,17.2,On,60r
295,2.524452408,17.2,On,60r
296,0.817341404,17.2,On,60r
297,0.075409911,17.2,On,60r
298,2.082934473,17.2,On,60r
299,0.409645754,17.2,On,60r
300,0.485445508,17.2,On,60r
301,0.131830332,17.2,On,60r
302,0.12197792,17.2,On,60r
303,0.126610977,17.2,On,60r
304,0.136055762,17.2,On,60r
305,0.560597558,17.2,On,60r
306,0.555546145,17.2,On,60r
307,0.98391339,17.2,On,60r
308,2.103058728,17.2,On,60r
309,0.051590613,17.2,On,60r
310,2.461482739,17.2,On,60r
311,0.312145506,17.2,On,60r
312,0.412484211,17.2,On,60r
313,1.095749116,17.2,On,60r
314,0.937249194,17.2,On,60r
315,1.342913426,17.2,On,60r
316,1.504633316,17.2,On,60r
317,2.810115794,17.2,On,60r
318,1.880883213,17.2,On,60r
319,1.547523987,17.2,On,60r
320,0.889728478,17.2,On,60r
321,0.902956079,17.2,On,60r
322,0.447960197,17.2,On,60r
323,2.017748394,17.2,On,60r
324,0.923036689,17.2,On,60r
325,0.232131646,17.2,On,60r
326,0.458051322,17.2,On,60r
327,1.63999561,17.2,On,60r
328,0.632938438,17.2,On,60r
329,0.225790026,17.2,On,60r
330,0.393660653,17.2,On,60r
331,1.540680328,17.2,On,60r
332,1.265384055,17.2,On,60r
333,1.905932358,17.2,On,60r
334,0.057863718,17.2,On,60r
335,2.405817504,17.2,On,60r
336,0.893201877,17.2,On,60r
337,0.465474035,17.2,On,60r
338,0.157521466,17.2,On,60r
339,2.873267333,17.2,On,60r
340,0.60290863,17.2,On,60r
341,0.533099825,17.2,On,60r
342,0.016130327,17.2,On,60r
343,0.023726295,17.2,On,60r
344,0.068994545,17.2,On,60r
345,1.958952997,17.2,On,60r
346,2.430306692,17.2,On,60r
347,0.156124235,17.2,On,60r
348,0.265598299,17.2,On,60r
349,0.283509883,17.2,On,60r
350,0.301308059,17.2,On,60r
351,0.74758215,17.2,On,60r
352,0.048800084,17.2,On,60r
353,0.375625639,17.2,On,60r
354,1.21449338,17.2,On,60r
355,1.108749088,17.2,On,60r
